"year","exp_level","emp_type","salary","comp_loc","comp_size"
2023,"SE","FT",385000,"US","M"
2023,"SE","FT",385000,"US","M"
2023,"SE","FT",385000,"US","M"
2023,"SE","FT",383910,"US","M"
2024,"SE","FT",382320,"US","M"
2024,"EX","FT",381500,"US","M"
2024,"SE","FT",381500,"US","M"
2022,"SE","FT",380000,"US","L"
2023,"SE","FT",376080,"US","M"
2023,"EX","FT",375500,"US","M"
2022,"SE","FT",375000,"US","M"
2022,"SE","FT",375000,"US","L"
2023,"SE","FT",374000,"US","M"
2024,"EX","FT",373000,"US","M"
2023,"SE","FT",372000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",370000,"US","M"
2023,"SE","FT",365630,"US","M"
2024,"SE","FT",365100,"US","M"
2024,"SE","FT",363000,"US","M"
2024,"SE","FT",363000,"US","M"
2024,"SE","FT",360000,"US","M"
2024,"MI","FT",360000,"US","M"
2023,"SE","FT",360000,"US","M"
2023,"SE","FT",18381,"TR","L"
2024,"MI","FT",359400,"US","M"
2024,"MI","FT",359400,"US","M"
2024,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2023,"SE","FT",359170,"US","M"
2024,"SE","FT",357900,"US","M"
2023,"SE","FT",354200,"US","M"
2023,"EX","FT",353200,"US","M"
2023,"EX","FT",353200,"US","M"
2023,"SE","FT",351000,"US","M"
2023,"EN","FT",350000,"US","M"
2023,"EX","FT",350000,"US","M"
2023,"SE","FT",350000,"US","M"
2023,"SE","FT",350000,"US","M"
2023,"MI","FT",430640,"GB","M"
2023,"SE","FT",350000,"US","L"
2022,"MI","FT",430967,"GB","M"
2022,"SE","FT",350000,"US","M"
2022,"SE","FT",345600,"US","M"
2024,"SE","FT",345400,"US","M"
2024,"SE","FT",345400,"US","M"
2024,"SE","FT",345400,"US","M"
2024,"SE","FT",345000,"US","M"
2023,"SE","FT",345000,"US","M"
2023,"SE","FT",342810,"US","M"
2024,"SE","FT",342400,"US","M"
2023,"SE","FT",342300,"US","L"
2024,"SE","FT",340000,"US","M"
2024,"SE","FT",340000,"US","M"
2023,"SE","FT",340000,"US","M"
2023,"MI","FT",340000,"US","M"
2024,"SE","FT",339250,"US","M"
2024,"SE","FT",337300,"US","M"
2024,"SE","FT",337300,"US","M"
2024,"SE","FT",337300,"US","M"
2024,"SE","FT",337300,"US","M"
2023,"EX","FT",336400,"US","M"
2023,"SE","FT",336300,"US","M"
2024,"EX","FT",334075,"CA","M"
2024,"SE","FT",333500,"US","M"
2024,"SE","FT",333500,"US","M"
2024,"SE","FT",333500,"US","M"
2024,"SE","FT",333500,"US","M"
2023,"SE","FT",333500,"US","M"
2023,"SE","FT",333500,"US","M"
2023,"EX","FT",333500,"US","M"
2024,"SE","FT",331640,"US","M"
2024,"SE","FT",331640,"US","M"
2024,"SE","FT",331640,"US","M"
2024,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2023,"SE","FT",331640,"US","M"
2024,"SE","FT",331292,"US","M"
2023,"SE","FT",330000,"US","M"
2023,"EX","FT",330000,"US","M"
2023,"SE","FT",330000,"US","M"
2023,"SE","FT",330000,"US","M"
2023,"SE","FT",330000,"US","M"
2023,"SE","FT",330000,"US","M"
2023,"SE","FT",330000,"US","M"
2023,"SE","FT",330000,"US","M"
2023,"EX","FT",330000,"US","M"
2023,"SE","FT",329700,"US","M"
2023,"EX","FT",329500,"US","M"
2023,"EX","FT",329500,"US","M"
2023,"EX","FT",329500,"US","M"
2023,"EX","FT",329500,"US","M"
2024,"SE","FT",329200,"CA","M"
2023,"SE","FT",328400,"US","M"
2023,"SE","FT",328133,"US","M"
2024,"MI","FT",328000,"US","M"
2023,"SE","FT",328000,"US","M"
2024,"EX","FT",326000,"US","M"
2024,"MI","FT",325000,"US","M"
2023,"SE","FT",325000,"US","M"
2023,"SE","FT",399880,"GB","L"
2020,"EX","FT",325000,"US","L"
2024,"SE","FT",324100,"US","L"
2024,"SE","FT",324000,"US","M"
2024,"SE","FT",324000,"US","M"
2024,"SE","FT",324000,"US","M"
2024,"SE","FT",324000,"US","M"
2024,"SE","FT",324000,"US","M"
2024,"SE","FT",324000,"US","M"
2024,"SE","FT",324000,"US","M"
2024,"SE","FT",324000,"US","M"
2024,"SE","FT",324000,"US","M"
2024,"SE","FT",324000,"US","M"
2023,"SE","FT",324000,"US","M"
2023,"SE","FT",324000,"US","M"
2023,"SE","FT",324000,"US","M"
2023,"SE","FT",324000,"US","M"
2023,"SE","FT",324000,"US","M"
2023,"SE","FT",324000,"US","M"
2022,"EX","FT",324000,"US","M"
2024,"EX","FT",323700,"US","M"
2024,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2023,"SE","FT",323300,"US","M"
2024,"SE","FT",322000,"US","M"
2024,"SE","FT",322000,"US","M"
2024,"SE","FT",322000,"US","M"
2024,"MI","FT",321830,"US","M"
2024,"SE","FT",321000,"US","M"
2024,"SE","FT",321000,"US","M"
2024,"EX","FT",320000,"US","M"
2023,"SE","FT",319000,"US","M"
2023,"SE","FT",319000,"US","M"
2023,"SE","FT",318300,"US","M"
2023,"SE","FT",318300,"US","M"
2023,"SE","FT",317070,"US","M"
2023,"SE","FT",317070,"US","M"
2024,"SE","FT",317000,"US","M"
2024,"SE","FT",316900,"US","M"
2023,"SE","FT",316000,"US","M"
2023,"SE","FT",316000,"US","M"
2023,"SE","FT",316000,"US","M"
2023,"SE","FT",315850,"US","M"
2023,"SE","FT",315850,"US","M"
2023,"SE","FT",315300,"US","M"
2024,"SE","FT",315000,"US","M"
2022,"SE","FT",315000,"US","M"
2024,"SE","FT",314100,"US","M"
2023,"EX","FT",314100,"US","M"
2024,"EX","FT",314000,"CA","M"
2024,"SE","FT",313000,"US","M"
2024,"SE","FT",313000,"US","M"
2024,"EX","FT",312287,"US","M"
2023,"SE","FT",311000,"US","M"
2024,"SE","FT",310270,"US","M"
2023,"SE","FT",310270,"US","M"
2023,"SE","FT",310270,"US","M"
2023,"SE","FT",310270,"US","M"
2023,"SE","FT",310270,"US","M"
2023,"SE","FT",310270,"US","M"
2024,"SE","FT",310000,"US","M"
2024,"SE","FT",310000,"US","M"
2024,"SE","FT",310000,"US","M"
2024,"SE","FT",310000,"US","M"
2024,"MI","FT",310000,"US","M"
2023,"MI","FT",310000,"US","M"
2023,"SE","FT",310000,"US","M"
2023,"SE","FT",310000,"US","M"
2023,"SE","FT",310000,"US","M"
2023,"EX","FT",310000,"US","M"
2023,"EX","FT",310000,"US","M"
2023,"EX","FT",310000,"US","M"
2023,"EX","FT",310000,"US","M"
2023,"SE","FT",310000,"US","M"
2022,"EX","FT",310000,"US","M"
2022,"EX","FT",310000,"US","M"
2023,"SE","FT",309400,"US","L"
2023,"SE","FT",309400,"US","L"
2023,"SE","FT",309400,"US","L"
2023,"SE","FT",309400,"US","L"
2023,"SE","FT",309400,"US","L"
2023,"SE","FT",309400,"US","L"
2023,"SE","FT",309400,"US","L"
2024,"SE","FT",309000,"US","M"
2024,"SE","FT",309000,"US","M"
2024,"SE","FT",309000,"US","M"
2023,"SE","FT",309000,"US","M"
2023,"SE","FT",309000,"US","M"
2023,"SE","FT",309000,"US","M"
2023,"SE","FT",309000,"US","M"
2023,"SE","FT",309000,"US","M"
2024,"MI","FT",308000,"US","M"
2023,"SE","FT",308000,"US","M"
2023,"SE","FT",308000,"US","M"
2023,"SE","FT",308000,"US","M"
2023,"SE","FT",308000,"US","M"
2024,"SE","FT",307100,"US","M"
2023,"SE","FT",307100,"US","M"
2023,"SE","FT",306400,"CA","M"
2023,"SE","FT",306000,"US","M"
2023,"SE","FT",306000,"US","M"
2023,"SE","FT",306000,"US","M"
2023,"SE","FT",306000,"US","M"
2023,"SE","FT",306000,"US","M"
2023,"SE","FT",305600,"US","M"
2023,"SE","FT",305600,"US","M"
2023,"SE","FT",305600,"US","M"
2023,"SE","FT",305600,"US","M"
2023,"SE","FT",305100,"US","M"
2023,"SE","FT",305000,"US","M"
2023,"SE","FT",305000,"US","M"
2024,"SE","FT",304750,"US","M"
2024,"SE","FT",304750,"US","M"
2023,"SE","FT",304750,"US","M"
2023,"SE","FT",304200,"US","M"
2023,"SE","FT",304000,"US","M"
2024,"SE","FT",303400,"US","M"
2024,"SE","FT",303400,"US","M"
2024,"SE","FT",303400,"CA","M"
2024,"SE","FT",303400,"US","M"
2024,"SE","FT",303050,"US","M"
2023,"SE","FT",303050,"US","M"
2023,"SE","FT",303050,"US","M"
2023,"SE","FT",303050,"US","M"
2024,"SE","FT",302840,"US","M"
2023,"SE","FT",302000,"US","M"
2023,"SE","FT",300240,"US","M"
2023,"SE","FT",300240,"US","M"
2023,"SE","FT",300105,"US","M"
2024,"SE","FT",300000,"US","M"
2024,"EX","FT",300000,"US","M"
2024,"SE","FT",300000,"US","M"
2024,"MI","FT",300000,"US","M"
2024,"EN","FT",300000,"US","M"
2024,"EN","FT",300000,"US","M"
2024,"EN","FT",300000,"US","M"
2024,"EX","FT",300000,"US","M"
2024,"EX","FT",300000,"US","M"
2024,"SE","FT",300000,"GB","M"
2024,"EX","FT",300000,"US","M"
2024,"SE","FT",300000,"US","M"
2024,"SE","FT",300000,"US","M"
2024,"SE","FT",300000,"US","M"
2024,"EX","FT",300000,"US","M"
2024,"SE","FT",300000,"US","M"
2024,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"MI","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"MI","FT",300000,"US","M"
2023,"MI","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"MI","FT",369120,"GB","M"
2023,"MI","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"MI","FT",369120,"GB","M"
2023,"MI","FT",369120,"GB","M"
2023,"MI","FT",300000,"US","M"
2023,"MI","FT",300000,"US","M"
2023,"MI","FT",300000,"QA","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"MI","FT",300000,"GB","M"
2020,"EX","FT",300000,"US","L"
2023,"MI","FT",300000,"AU","M"
2023,"SE","CT",323905,"US","M"
2023,"MI","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"SE","FT",300000,"US","M"
2023,"EX","FT",300000,"US","M"
2022,"SE","FT",300000,"US","M"
2022,"SE","FT",300000,"US","M"
2022,"SE","FT",300000,"US","M"
2022,"SE","FT",300000,"US","M"
2022,"SE","FT",300000,"US","M"
2022,"SE","FT",300000,"US","M"
2020,"EN","FT",45896,"DK","S"
2024,"SE","FT",299792,"US","M"
2023,"SE","FT",299500,"US","M"
2023,"EX","FT",299500,"US","M"
2023,"SE","FT",299500,"US","M"
2023,"SE","FT",299500,"US","M"
2023,"SE","FT",299500,"US","M"
2023,"SE","FT",299500,"US","M"
2023,"SE","FT",299500,"US","M"
2023,"SE","FT",299500,"US","M"
2023,"SE","FT",299500,"US","M"
2022,"SE","FT",299500,"US","M"
2023,"SE","FT",299000,"US","M"
2022,"EX","FT",297500,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2023,"SE","FT",297300,"US","M"
2024,"SE","FT",297000,"US","M"
2024,"SE","FT",297000,"US","M"
2024,"SE","FT",297000,"US","M"
2023,"SE","FT",297000,"US","M"
2023,"SE","FT",297000,"US","M"
2024,"SE","FT",296980,"US","M"
2023,"MI","FT",296980,"US","M"
2024,"SE","FT",296400,"US","M"
2023,"SE","FT",296400,"US","M"
2023,"SE","FT",296400,"US","M"
2023,"SE","FT",296400,"US","M"
2024,"SE","FT",296100,"US","M"
2023,"SE","FT",296100,"US","M"
2023,"EX","FT",295500,"US","M"
2024,"SE","FT",295490,"US","M"
2023,"SE","FT",295490,"US","M"
2023,"SE","FT",295490,"US","M"
2023,"SE","FT",295490,"US","M"
2023,"SE","FT",295490,"US","M"
2023,"SE","FT",295490,"US","M"
2023,"SE","FT",295490,"US","M"
2023,"SE","FT",295490,"US","M"
2024,"MI","FT",295000,"US","M"
2024,"MI","FT",295000,"US","M"
2024,"SE","FT",295000,"US","M"
2024,"MI","FT",295000,"US","M"
2024,"MI","FT",295000,"US","M"
2024,"MI","FT",295000,"US","M"
2024,"MI","FT",295000,"US","M"
2024,"SE","FT",295000,"US","M"
2024,"SE","FT",295000,"US","M"
2023,"SE","FT",295000,"US","M"
2024,"SE","FT",294000,"US","M"
2023,"SE","FT",294000,"US","M"
2023,"SE","FT",293000,"US","M"
2023,"SE","FT",293000,"US","M"
2023,"SE","FT",293000,"US","M"
2023,"SE","FT",292200,"US","M"
2023,"SE","FT",292000,"US","M"
2024,"EN","FT",291900,"US","M"
2023,"SE","FT",291500,"US","M"
2023,"SE","FT",291500,"US","M"
2023,"SE","FT",291500,"US","M"
2023,"SE","FT",290300,"US","M"
2024,"SE","FT",290000,"US","M"
2024,"EX","FT",290000,"US","M"
2024,"SE","FT",290000,"US","M"
2024,"SE","FT",290000,"US","M"
2024,"SE","FT",290000,"US","M"
2024,"EX","FT",290000,"US","M"
2023,"SE","FT",290000,"US","M"
2023,"SE","FT",290000,"US","M"
2023,"EX","FT",290000,"US","L"
2023,"SE","FT",290000,"US","M"
2023,"SE","FT",289800,"US","M"
2023,"SE","FT",289800,"GB","M"
2023,"SE","FT",289800,"US","M"
2023,"SE","FT",289800,"US","M"
2023,"SE","FT",289120,"US","M"
2023,"SE","FT",289076,"US","M"
2023,"SE","FT",289076,"US","M"
2024,"SE","FT",289000,"US","L"
2024,"EX","FT",288400,"US","M"
2024,"SE","FT",288400,"US","M"
2023,"SE","FT",288000,"US","M"
2023,"SE","FT",288000,"US","M"
2023,"SE","FT",288000,"US","M"
2024,"MI","FT",287800,"US","M"
2024,"MI","FT",287800,"US","M"
2023,"SE","FT",287700,"US","L"
2024,"SE","FT",287500,"US","M"
2024,"SE","FT",287500,"US","M"
2023,"SE","FT",287500,"US","M"
2023,"SE","FT",287500,"US","M"
2023,"SE","FT",287500,"US","M"
2023,"MI","FT",287500,"AU","M"
2023,"MI","FT",287500,"AU","M"
2024,"EX","FT",286500,"US","M"
2024,"SE","FT",286000,"US","M"
2023,"SE","FT",286000,"US","M"
2023,"EX","FT",286000,"US","M"
2023,"SE","FT",285800,"US","M"
2023,"SE","FT",285800,"US","M"
2024,"SE","FT",285670,"US","M"
2024,"SE","FT",285200,"US","M"
2024,"SE","FT",285000,"US","M"
2023,"MI","FT",285000,"US","L"
2023,"SE","FT",285000,"US","M"
2023,"SE","FT",285000,"US","M"
2023,"SE","FT",285000,"US","M"
2023,"SE","FT",285000,"US","M"
2023,"SE","FT",285000,"US","M"
2024,"SE","FT",323295,"CH","L"
2024,"SE","FT",284400,"US","M"
2024,"SE","FT",284400,"US","M"
2023,"SE","FT",284310,"US","M"
2023,"SE","FT",284310,"US","M"
2023,"SE","FT",284310,"US","M"
2023,"SE","FT",284050,"US","M"
2023,"SE","FT",284000,"US","M"
2023,"EX","FT",284000,"US","M"
2024,"SE","FT",283800,"US","M"
2024,"SE","FT",283800,"US","M"
2024,"SE","FT",283800,"US","M"
2024,"SE","FT",283780,"US","M"
2024,"SE","FT",283780,"US","M"
2024,"SE","FT",283780,"US","M"
2024,"SE","FT",283780,"US","M"
2024,"SE","FT",283780,"US","M"
2023,"SE","FT",283780,"US","M"
2023,"SE","FT",283780,"US","M"
2023,"SE","FT",283780,"US","M"
2023,"SE","FT",283780,"US","M"
2023,"SE","FT",283780,"US","M"
2023,"SE","FT",283780,"US","M"
2023,"SE","FT",283780,"US","M"
2023,"SE","FT",283780,"US","M"
2024,"SE","FT",283500,"US","M"
2023,"SE","FT",283200,"US","M"
2023,"SE","FT",283200,"US","M"
2023,"SE","FT",283200,"US","M"
2023,"SE","FT",283050,"US","M"
2023,"SE","FT",283000,"US","M"
2024,"SE","FT",282000,"US","M"
2024,"SE","FT",282000,"US","M"
2023,"SE","FT",282000,"US","M"
2023,"SE","FT",282000,"US","M"
2023,"EN","FT",281700,"US","M"
2023,"SE","FT",281000,"CA","M"
2023,"SE","FT",281000,"CA","M"
2023,"SE","FT",281000,"US","M"
2023,"SE","FT",281000,"CA","M"
2023,"SE","FT",280889,"US","M"
2023,"SE","FT",280889,"US","M"
2023,"SE","FT",280830,"CA","M"
2023,"MI","FT",280700,"US","M"
2023,"SE","FT",280600,"US","M"
2023,"SE","FT",280600,"US","M"
2023,"SE","FT",280100,"US","M"
2023,"SE","FT",280100,"US","M"
2024,"SE","FT",280000,"US","M"
2024,"SE","FT",280000,"US","M"
2024,"SE","FT",280000,"US","M"
2024,"MI","FT",280000,"US","M"
2024,"MI","FT",280000,"US","M"
2024,"MI","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"MI","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2023,"MI","FT",280000,"GB","L"
2023,"SE","FT",280000,"US","M"
2023,"SE","FT",280000,"US","M"
2024,"SE","FT",279000,"US","M"
2024,"SE","FT",278800,"US","M"
2024,"SE","FT",278700,"US","M"
2024,"SE","FT",278700,"US","M"
2024,"SE","FT",278700,"US","M"
2024,"SE","FT",278700,"US","M"
2024,"SE","FT",278700,"US","M"
2024,"SE","FT",278700,"US","M"
2024,"SE","FT",278700,"US","M"
2024,"SE","FT",278700,"US","M"
2024,"SE","FT",278700,"US","M"
2024,"SE","FT",278700,"US","M"
2023,"SE","FT",278700,"US","M"
2023,"SE","FT",278700,"US","M"
2023,"SE","FT",278700,"US","M"
2023,"SE","FT",278700,"US","M"
2023,"SE","FT",278700,"US","M"
2023,"SE","FT",278700,"US","M"
2023,"SE","FT",278700,"US","M"
2023,"SE","FT",278700,"US","M"
2023,"SE","FT",278700,"US","M"
2023,"SE","FT",278300,"US","M"
2023,"SE","FT",278000,"US","M"
2023,"SE","FT",277500,"US","M"
2023,"SE","FT",277300,"GB","M"
2024,"SE","FT",277000,"US","M"
2024,"SE","FT",277000,"US","M"
2024,"SE","FT",277000,"US","M"
2024,"SE","FT",277000,"US","M"
2023,"SE","FT",277000,"US","M"
2024,"SE","FT",276000,"US","M"
2024,"SE","FT",276000,"US","M"
2024,"SE","FT",276000,"US","M"
2024,"SE","FT",276000,"US","M"
2024,"MI","FT",276000,"US","M"
2024,"SE","FT",276000,"US","M"
2023,"SE","FT",276000,"US","M"
2023,"SE","FT",276000,"US","M"
2023,"SE","FT",276000,"US","M"
2023,"SE","FT",276000,"US","M"
2023,"SE","FT",276000,"US","M"
2023,"SE","FT",276000,"US","M"
2021,"SE","FT",276000,"US","L"
2023,"SE","FT",275500,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2023,"SE","FT",275300,"US","M"
2024,"SE","FT",275000,"US","M"
2023,"SE","FT",275000,"US","M"
2023,"SE","FT",275000,"DE","M"
2023,"SE","FT",275000,"US","M"
2023,"SE","FT",275000,"US","M"
2023,"SE","FT",275000,"US","M"
2023,"SE","FT",275000,"US","M"
2023,"SE","FT",275000,"US","M"
2023,"SE","FT",275000,"US","M"
2023,"MI","FT",275000,"CA","M"
2023,"SE","FT",275000,"US","M"
2023,"MI","FT",275000,"US","M"
2023,"MI","FT",275000,"US","M"
